Player,Pos,Age,Team,G,MP,PER,OWS,DWS,WS,BPM,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,Year,Allstar,Years_In_NBA,PR
Chris Welp,C,25,PHI,72,843,8.7,0.0,0.7,0.7,-3.3,-0.3,1.4,3.1,0.0,0.0,1.4,3.1,0.7,1.0,0.8,1.9,2.7,0.4,0.3,0.6,1989,0,2,-11.629082
Clinton Wheeler,PG,29,TOT,28,354,12.8,0.3,0.3,0.6,-1.5,0.0,1.6,3.1,0.0,0.0,1.6,3.1,0.5,0.7,0.6,0.5,1.1,1.9,1.0,0.0,1989,0,2,-13.850501000000001
Corey Gaines,SG,23,NJN,32,337,9.1,0.1,0.2,0.2,-6.2,-0.4,0.8,2.0,0.0,0.2,0.8,1.8,0.4,0.5,0.1,0.5,0.6,2.1,0.5,0.0,1989,0,1,-18.18889
Craig Neal,PG,24,TOT,53,500,6.7,-0.6,0.3,-0.3,-8.4,-0.8,0.8,2.3,0.2,0.6,0.7,1.7,0.3,0.4,0.1,0.4,0.5,2.2,0.5,0.1,1989,0,1,-17.479404000000002
Dallas Comegys,PF,24,SAS,67,1119,11.9,0.3,1.1,1.4,-2.9,-0.3,2.5,5.1,0.0,0.0,2.5,5.1,1.6,2.4,1.7,1.8,3.5,0.4,0.6,0.9,1989,0,2,-5.1338056
Dan Majerle,SG,23,PHO,54,1354,11.3,0.9,1.7,2.5,1.2,1.1,3.4,8.0,0.5,1.5,2.9,6.5,1.4,2.4,1.1,2.7,3.9,2.4,1.2,0.3,1989,0,1,2.44952368
Danny Manning,PF,22,LAC,26,950,13.4,0.0,0.7,0.7,-0.5,0.4,6.8,13.8,0.0,0.2,6.8,13.6,3.0,4.0,2.7,3.9,6.6,3.1,1.7,1.0,1989,0,1,8.90533359
Dave Hoppen,C,24,CHH,77,1419,11.8,1.7,0.9,2.6,-1.9,0.0,2.6,4.6,0.0,0.0,2.6,4.6,1.3,1.8,1.6,3.4,5.0,0.7,0.3,0.3,1989,0,2,-3.9900485
Dave Popson,PF,24,TOT,17,106,6.4,-0.2,0.1,-0.1,-7.8,-0.2,0.9,2.4,0.0,0.0,0.9,2.4,0.1,0.2,0.7,0.9,1.6,0.5,0.1,0.2,1989,0,1,-20.055820999999998
David Rivers,PG,24,LAL,47,440,9.8,-0.5,0.5,0.0,-5.4,-0.4,1.0,2.6,0.0,0.1,1.0,2.5,0.7,0.9,0.3,0.6,0.9,2.3,0.5,0.2,1989,0,1,-15.774917000000002
David Wood,PF,24,CHI,2,2,0.0,0.0,0.0,0.0,-6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989,0,1,-25.821801
Dennis Hopson,SG,23,NJN,62,1551,13.8,0.6,1.2,1.7,-1.9,0.0,4.8,11.5,0.1,0.4,4.8,11.1,3.0,3.5,1.5,1.8,3.3,1.7,1.1,0.5,1989,0,2,3.07748237
Derrick Chievous,SF,21,HOU,81,1539,11.6,0.0,1.6,1.6,-3.9,-0.7,3.4,7.8,0.1,0.3,3.4,7.5,2.4,3.0,1.4,1.8,3.2,1.0,0.6,0.1,1989,0,1,-2.5853175
Derrick McKey,SF,22,SEA,82,2804,15.5,5.0,2.3,7.4,2.2,3.0,5.9,11.8,0.4,1.1,5.6,10.7,3.7,4.6,2.0,3.6,5.7,2.7,1.3,0.9,1989,0,2,19.6595
Dominic Pressley,PG,24,TOT,13,124,5.3,-0.3,0.1,-0.2,-8.2,-0.2,0.7,2.4,0.0,0.2,0.7,2.2,0.4,0.7,0.2,0.9,1.2,2.0,0.3,0.0,1989,0,1,-20.041422
Duane Ferrell,SF,23,ATL,41,231,12.0,0.2,0.2,0.4,-3.7,-0.1,0.9,2.0,0.0,0.0,0.9,2.0,0.7,1.1,0.5,0.5,1.0,0.2,0.2,0.1,1989,0,1,-16.956331
Eddie Hughes,PG,28,DEN,26,224,11.4,0.1,0.3,0.4,-1.6,0.0,1.1,2.5,0.3,0.8,0.8,1.6,0.3,0.5,0.2,0.5,0.7,1.3,0.7,0.1,1989,0,2,-14.988728
Eric Leckner,C,22,UTA,75,779,9.7,0.1,1.4,1.5,-4.7,-0.5,1.6,2.9,0.0,0.0,1.6,2.9,1.1,1.5,0.6,2.0,2.7,0.2,0.1,0.3,1989,0,1,-11.467801
Eric White,SF,23,TOT,38,436,10.3,0.3,0.1,0.5,-4.7,-0.3,1.6,3.2,0.0,0.0,1.6,3.2,0.9,1.1,0.9,0.9,1.8,0.4,0.3,0.0,1989,0,2,-15.251084
Everette Stephens,PG,22,IND,35,209,6.4,-0.6,0.1,-0.4,-7.3,-0.3,0.7,2.1,0.1,0.3,0.6,1.8,0.5,0.6,0.3,0.3,0.7,1.1,0.3,0.1,1989,0,1,-19.355345
Fennis Dembo,SF,23,DET,31,74,7.8,-0.2,0.1,-0.1,-8.8,-0.1,0.5,1.4,0.0,0.1,0.5,1.2,0.3,0.3,0.3,0.5,0.7,0.2,0.0,0.0,1989,0,1,-21.500460999999998
Gary Grant,PG,23,LAC,71,1924,14.1,-2.0,1.6,-0.4,-2.1,0.0,5.1,11.7,0.1,0.3,5.0,11.4,1.7,2.3,1.1,2.2,3.4,7.1,2.0,0.1,1989,0,1,4.25797137
Grant Long,PF,22,MIA,82,2435,13.7,2.0,2.7,4.6,0.9,1.8,4.1,8.4,0.0,0.1,4.1,8.4,3.7,5.0,2.9,3.7,6.7,1.8,1.5,0.6,1989,0,1,12.4925408
Greg Anderson,PF,24,SAS,82,2401,14.9,0.4,3.1,3.4,-2.5,-0.3,5.6,11.1,0.0,0.0,5.6,11.1,2.5,4.9,3.1,5.1,8.2,0.7,1.2,1.3,1989,0,2,13.128201999999998
Greg Butler,C,22,NYK,33,140,4.7,-0.2,0.1,-0.1,-11.1,-0.3,0.6,1.5,0.0,0.1,0.6,1.4,0.5,0.6,0.3,0.6,0.8,0.1,0.0,0.1,1989,0,1,-21.734211
Harvey Grant,PF,23,WSB,71,1193,10.6,0.9,0.9,1.7,-1.7,0.1,2.5,5.5,0.0,0.0,2.5,5.5,0.5,0.8,1.1,1.2,2.3,1.1,0.5,0.4,1989,0,1,-7.9542815000000004
Hersey Hawkins,SG,22,PHI,79,2577,14.2,2.7,1.3,4.0,0.3,1.5,5.6,12.3,0.9,2.1,4.7,10.2,3.1,3.7,0.6,2.2,2.8,3.0,1.5,0.5,1989,0,1,12.9077161
Horace Grant,PF,23,CHI,79,2809,13.8,3.3,3.1,6.4,1.1,2.2,5.1,9.9,0.0,0.1,5.1,9.8,1.8,2.5,3.0,5.6,8.6,2.1,1.1,0.8,1989,0,2,14.914354300000001
